ID	SLNO	SALIST	SOURCE_CONCEPT	CONCEPTICON_ID	CONCEPTICON_NAME	FORM	TOKENS	BORROWED	TONES	SOURCE	PAGE	DOCULECT	SPEAKER	GLOTTOCODE	NOTES
59	15	morning	morning	1890	MORNING	vuat³¹ pi³³	v ua t ³¹ + p i ³³	0	31 33	nawsawu2016makyam	156	Santong	st1	maky1236	
60	15	morning	morning	1890	MORNING	wat²¹ pi³³	w a t ²¹ + p i ³³	0	21 33	nawsawu2016makyam	156	Santong	st2	maky1236	
61	16		noon	2000	NOON	ɲɛt⁵²	ɲ ɛ t ⁵²	0	52	nawsawu2016makyam	156	Khalai	kl1	maky1236	
62	16		noon	2000	NOON	ɲɛt⁵²	ɲ ɛ t ⁵²	0	52	nawsawu2016makyam	156	Khalai	kl2	maky1236	
63	16		noon	2000	NOON	ɲɛk⁵²	ɲ ɛ k ⁵²	0	52	nawsawu2016makyam	156	Santong	st1	maky1236	
64	16		noon	2000	NOON	ɲɛk⁴²	ɲ ɛ k ⁴²	0	42	nawsawu2016makyam	156	Santong	st2	maky1236	
65	17	yesterday	yesterday	4548	YESTERDAY	kʰə³¹ zi³³	kʰ ə ³¹ + z i ³³	0	31 33	nawsawu2016makyam	156	Khalai	kl1	maky1236	
66	17	yesterday	yesterday	4548	YESTERDAY	kʰə²¹ zi³³	kʰ ə ²¹ + z i ³³	0	21 33	nawsawu2016makyam	156	Khalai	kl2	maky1236	
67	17	yesterday	yesterday	4548	YESTERDAY	kʰə³¹ ri³³	kʰ ə ³¹ + r i ³³	0	31 33	nawsawu2016makyam	156	Santong	st1	maky1236	
68	17	yesterday	yesterday	4548	YESTERDAY	kʰə²¹ ri³³	kʰ ə ²¹ + r i ³³	0	21 33	nawsawu2016makyam	156	Santong	st2	maky1236	
69	18	tomorrow	tomorrow	4236	TOMORROW	vuat³³	v ua t ³³	0	33	nawsawu2016makyam	156	Khalai	kl1	maky1236	
70	18	tomorrow	tomorrow	4236	TOMORROW	vuat⁵²	v ua t ⁵²	0	52	nawsawu2016makyam	156	Khalai	kl2	maky1236	
71	18	tomorrow	tomorrow	4236	TOMORROW	wuɛ²⁴ pi³¹	w uɛ ²⁴ + p i ³¹	0	24 31	nawsawu2016makyam	156	Santong	st1	maky1236	
72	18	tomorrow	tomorrow	4236	TOMORROW	vuɛ³⁵ pi²¹	v uɛ ³⁵ + p i ²¹	0	35 21	nawsawu2016makyam	156	Santong	st2	maky1236	
73	19	year	year	4543	YEAR	nuan³³	n ua n ³³	0	33	nawsawu2016makyam	156	Khalai	kl1	maky1236	
74	19	year	year	4543	YEAR	nuan³³	n ua n ³³	0	33	nawsawu2016makyam	156	Khalai	kl2	maky1236	
75	19	year	year	4543	YEAR	nuan³³	n ua n ³³	0	33	nawsawu2016makyam	156	Santong	st1	maky1236	
76	19	year	year	4543	YEAR	nuan³³	n ua n ³³	0	33	nawsawu2016makyam	156	Santong	st2	maky1236	
77	20	east	east	884	EAST	ŋaʔ³¹	ŋ a ʔ ³¹	0	31	nawsawu2016makyam	156	Khalai	kl1	maky1236	
78	20	east	east	884	EAST	ŋaʔ⁵²	ŋ a ʔ ⁵²	0	52	nawsawu2016makyam	156	Khalai	kl2	maky1236	
79	20	east	east	884	EAST	ŋaʔ³¹ luom⁴⁴	ŋ a ʔ ³¹ + l uo m ⁴⁴	0	31 44	nawsawu2016makyam	156	Santong	st1	maky1236	
80	20	east	east	884	EAST	ŋaʔ²¹ luom⁴⁴	ŋ a ʔ ²¹ + l uo m ⁴⁴	0	21 44	nawsawu2016makyam	156	Santong	st2	maky1236	
81	21	west	west	4454	WEST	θy³³	θ y ³³	0	33	nawsawu2016makyam	156	Khalai	kl1	maky1236	
82	21	west	west	4454	WEST	θy⁴⁴	θ y ⁴⁴	0	44	nawsawu2016makyam	156	Khalai	kl2	maky1236	
83	21	west	west	4454	WEST	θə⁴⁴ luom⁴⁴	θ ə ⁴⁴ + l uo m ⁴⁴	0	44 44	nawsawu2016makyam	156	Santong	st1	maky1236	
84	21	west	west	4454	WEST	θy⁴⁴ luom⁴⁴	θ y ⁴⁴ + l uo m ⁴⁴	0	44 44	nawsawu2016makyam	156	Santong	st2	maky1236	
85	22	water:drinking	water	4425	WATER	tʰi⁴⁴	tʰ i ⁴⁴	0	44	nawsawu2016makyam	156	Khalai	kl1	maky1236	
86	22	water:drinking	water	4425	WATER	tʰi⁴⁴	tʰ i ⁴⁴	0	44	nawsawu2016makyam	156	Khalai	kl2	maky1236	
87	22	water:drinking	water	4425	WATER	tʰi⁴⁴	tʰ i ⁴⁴	0	44	nawsawu2016makyam	156	Santong	st1	maky1236	
88	22	water:drinking	water	4425	WATER	tʰi⁴⁴	tʰ i ⁴⁴	0	44	nawsawu2016makyam	156	Santong	st2	maky1236	
89	23		to be hot (water)	2272	HOT OR WARM	tʰi⁴⁴ tʰak³³ kɔ⁴⁴	tʰ i ⁴⁴ + tʰ a k ³³ + k ɔ ⁴⁴	0	44 33 44	nawsawu2016makyam	156	Khalai	kl1	maky1236	
90	23		to be hot (water)	2272	HOT OR WARM	tʰi⁴⁴ tʰak⁵² kɔ³³	tʰ i ⁴⁴ + tʰ a k ⁵² + k ɔ ³³	0	44 52 33	nawsawu2016makyam	156	Khalai	kl2	maky1236	
91	23		to be hot (water)	2272	HOT OR WARM	tʰak⁵² kɔ⁴⁴	tʰ a k ⁵² + k ɔ ⁴⁴	0	52 44	nawsawu2016makyam	156	Santong	st1	maky1236	
92	23		to be hot (water)	2272	HOT OR WARM	tʰak⁴² kɔ⁴⁴	tʰ a k ⁴² + k ɔ ⁴⁴	0	42 44	nawsawu2016makyam	156	Santong	st2	maky1236	
93	24		to be hot (person)	3818	HOT (FEELING HOT)	xuan³³ kɔ³³	x ua n ³³ + k ɔ ³³	0	33 33	nawsawu2016makyam	156	Khalai	kl1	maky1236	
94	24		to be hot (person)	3818	HOT (FEELING HOT)	xuan³³ lə²¹ kɔ³³	x ua n ³³ + l ə ²¹ + k ɔ ³³	0	33 21 33	nawsawu2016makyam	156	Khalai	kl2	maky1236	
95	24		to be hot (person)	3818	HOT (FEELING HOT)	vɔk⁴⁴ kɔ³¹	v ɔ k ⁴⁴ + k ɔ ³¹	0	44 31	nawsawu2016makyam	156	Santong	st1	maky1236	
96	24		to be hot (person)	3818	HOT (FEELING HOT)	vɔk⁴² kɔ⁴⁴	v ɔ k ⁴² + k ɔ ⁴⁴	0	42 44	nawsawu2016makyam	156	Santong	st2	maky1236	
97	25		to be warm (water)	2272	HOT OR WARM	lam³³ kɔ⁴⁴	l a m ³³ + k ɔ ⁴⁴	0	33 44	nawsawu2016makyam	156	Khalai	kl1	maky1236	
98	25		to be warm (water)	2272	HOT OR WARM	lam³⁵ lə⁴⁴ kɔ²¹	l a m ³⁵ + l ə ⁴⁴ + k ɔ ²¹	0	35 44 21	nawsawu2016makyam	156	Khalai	kl2	maky1236	
99	25		to be warm (water)	2272	HOT OR WARM	lam³³ kɔ³¹	l a m ³³ + k ɔ ³¹	0	33 31	nawsawu2016makyam	156	Santong	st1	maky1236	
100	25		to be warm (water)	2272	HOT OR WARM	lam³³ kɔ⁴⁴	l a m ³³ + k ɔ ⁴⁴	0	33 44	nawsawu2016makyam	156	Santong	st2	maky1236	
101	26		to be cold (person)	3819	COLD (FEELING COLD)	sak⁴⁴ kɔ⁴⁴	s a k ⁴⁴ + k ɔ ⁴⁴	0	44 44	nawsawu2016makyam	156	Khalai	kl1	maky1236	
102	26		to be cold (person)	3819	COLD (FEELING COLD)	sak⁴⁴ lə⁴⁴ kɔ²¹	s a k ⁴⁴ + l ə ⁴⁴ + k ɔ ²¹	0	44 44 21	nawsawu2016makyam	156	Khalai	kl2	maky1236	
103	26		to be cold (person)	3819	COLD (FEELING COLD)	sak⁵² kɔ³¹	s a k ⁵² + k ɔ ³¹	0	52 31	nawsawu2016makyam	156	Santong	st1	maky1236	
