NUMBER,ENGLISH,PAGE,CONCEPTICON_ID,CONCEPTICON_GLOSS
718,weaver,202,,
719,butcher(n),202,,
720,carpenter,202,,
721,trader,202,4260,TRADER
722,seller,202,,
723,teacher,202,2976,TEACHER
724,sonk,202,,
725,nun,202,2020,NUN
726,novice,202,2014,NOVICE
727,(domestic) servant,202,,
728,beggar,202,,
729,soldier,203,2718,SOLDIER
730,prostitute,203,,
731,"midwife, sage",203,,
732,"medicine man, traditional healer",203,,
733,fetish priest,203,,
734,sorcerer (male),203,,
735,witch (female),203,,
736,fortune teller,203,,
737,"meet, encounter",203,,
738,accompany,203,,
739,(be) together,203,,
740,"assemble, meet together",203,,
741,invite,203,,
742,(be) alone,203,,
743,abandon,203,,
744,"flee, run away from",204,,
745,drive away,204,,
746,avoid,204,,
747,imitate,204,,
748,admire,204,,
749,language,204,1612,LANGUAGE
750,word,204,4529,WORD
751,meaning (n),204,,
752,say,204,,
753,scold,204,,
754,voice,204,4402,VOICE
755,whisper (v),204,,
756,mumble,204,,
757,stutter,204,,
758,(be) eloquent,204,,
759,(be) silent,205,,
760,write (v),205,,
761,greet (v.),205,,
762,call (someone),205,,
763,"say goodbye, take leave of",205,,
764,announce,205,,
765,announcement,205,,
766,news,205,1982,NEWS
767,explain,205,,
768,advise,205,,
769,gossip (v),205,,
770,"ask, request",205,,
771,thank,205,,
772,promise (n),205,2296,PROMISE (N.)
773,oath,205,2030,OATH
774,swear,206,,
775,insult (v),206,,
776,insult (n),206,,
777,slander (v),206,,
778,threaten,206,,
779,argue,206,,
780,argument,206,,
781,"grumble, complain",206,,
782,contradict,206,,
783,accuse,206,,
784,deny,206,,
785,admit (to a wrong),206,,
786,agree,206,,
787,agreement,206,,
788,persuade,206,,
789,praise (n),207,,
790,"bless, praise (someone)",207,,
791,congratulate,207,,
792,"boast, brag",207,,
793,story (tale),207,,
794,proverb,207,2310,PROVERB
795,"speech,discourse",207,,
796,account (report),207,,
797,"embrace, hug (v)",207,,
798,caress (v),207,,
799,kiss (v),207,,
800,"nurse, suckle (baby)",207,,
801,tickle (v),207,,
802,spank (child),207,,
803,whip (n),207,,
804,help,208,,
805,protect,208,,
806,look after,208,,
807,bring up (a child),208,,
808,"rule over, dominate",208,,
809,order (someone to do something),208,,
810,command (n),208,,
811,"duty, obligation",208,,
812,send (someone to do something),208,,
813,serve,208,,
814,"lead, guide (v)",208,,
815,follow,208,,
816,obey,208,,
817,please,209,,
818,annoy,209,,
819,deceive,209,,
820,quarrel,209,2324,QUARREL
821,take revenge,209,,
822,"resolve, settle (dispute)",209,,
823,"intercede, mediate",209,,
824,compromise,209,,
825,"appease, pacify",209,,
826,judge (v),209,,
827,law,209,,
828,"(be) fair, just",209,,
829,(be) guilty,209,,
830,(be) innocent,209,,
831,punish,210,,
832,to fine,210,,
833,"penalty, punishment",210,,
834,dwell,210,,
835,"inhabitant, resident",210,,
836,country dweller,210,,
837,move away,210,,
838,"country, ethnic area",210,,
839,frontier (of ethnic area),210,,
840,"town, city",210,,
841,market (n),210,,
842,wear clothes,210,,
843,dress (v),210,,
844,undress,210,,
845,hat,211,,
846,loincloth,211,,
847,baby sling,211,,
848,"shoe, sandal",211,,
849,bead,211,218,BEAD
850,"string, thread (beads) (v)",211,,
851,bracelet,211,350,BRACELET
852,necklace,211,,
853,"ankle ring, bangle",211,,
854,earring,211,879,EARRING
855,pierce (ears),211,,
856,"plait, braid (hair)",211,,
857,tattoo(s),211,,
858,"cane, walking stick",211,,
859,"apply (ointment), besmear",211,,
860,razor,212,,
861,"tooth stick, toothbrush",212,,
862,food,212,1112,FOOD
863,oil,212,,
864,"soup, broth",212,,
865,flour,212,,
866,breakfast,212,362,BREAKFAST
867,lunch,212,,
868,evening meal,212,,
869,feast,212,1025,FEAST
870,leftovers,212,,
871,spoil (food) (intr),212,,
872,rice wine,212,,
873,prepare (food to cook),212,,
874,cut (tr),212,,
875,cut open (fruit),213,,
876,slice,213,,
877,peel (v),213,,
878,mix (v),213,,
879,stir,213,,
880,strain (food) (v),213,,
881,pluck (feathers),213,,
882,roast,213,,
883,fry,213,,
884,bake (in ashes),213,,
885,(be) smoked,213,,
886,ferment (alcohol) (v),213,,
887,cooking pot (earthenware),213,,
888,pot (for water),213,,
889,ladle,213,1600,LADLE
890,cooking stone,214,,
891,bowl,214,,
892,cup,214,721,CUP
893,chopsticks,214,,
894,bag,214,,
895,box,214,,
896,basket,214,208,BASKET
897,"bucket, pail",214,,
898,bottle,214,336,BOTTLE
899,"stopper, plug",214,2850,"STOPPER, PLUG"
900,handle,214,,
901,pour,214,,
902,spill (liquid) (tr),214,,
903,take out (from container),214,,
904,fill,214,,
905,(be) empty,214,,
906,(be) open [blossom],215,,
907,open (tr),215,,
908,"close, shut (tr)",215,,
909,stop up (v),215,,
910,cover (v),215,,
911,uncover,215,,
912,store (up),215,,
913,bundle (n),215,,
914,heap (n),215,,
915,heap up (v),215,,
916,wrap up (v),215,,
917,unwrap (v),215,,
918,pack (v),215,,
919,strap (n),215,,
920,rope,215,,
921,knot (n),215,,
922,"fasten, bind (load)",216,,
923,untie,216,,
924,tighten (tr),216,,
925,(be) tight,216,,
926,loosen,216,,
927,hut (in the field),216,,
928,window,216,4498,WINDOW
929,"beam, rafter",216,,
930,floor,216,,
931,room,216,2427,ROOM
932,bedroom,216,,
933,kitchen,216,,
934,sitting room,216,,
936,fence (n),216,,
937,fence in (v),216,,
938,granary (to store rice),217,,
939,well (n),217,,
940,bathing place,217,,
941,"latrine, toilet",217,,
942,garbage dump,217,,
943,garden,217,1192,GARDEN
944,shelter (n),217,,
945,build,217,,
946,thatch (n),217,,
947,plaster (n),217,,
948,paint (n),217,,
949,ladder,217,,
950,chair,217,,
951,table,217,2804,STABLE
952,lamp,217,,
953,fan (n),218,,
954,bell,218,251,BELL
955,ring (bell) (v),218,,
956,"act, do",218,,
957,work (n),218,4530,WORK (N.)
958,"mend, repair",218,,
959,forge (n),218,,
960,hammer,218,1300,HAMMER
961,anvil,218,,
962,bellows,218,254,BELLOWS
963,"lump (clay, mud)",218,,
964,mould (pottery),218,,
965,potter’s kiln,218,,
966,wood,218,,
967,cut down (tree),218,,
968,log,218,1701,LOG
969,hollow out (log),218,,
970,axe,219,156,AXE
971,saw (n),219,,
972,plank (n),219,,
973,knot (in wood),219,,
974,"splinter, sliver (n)",219,,
975,chisel (n),219,,
976,nail (n),219,,
977,thread (n),219,,
978,hem (n),219,,
979,pocket,219,2239,POCKET
980,(be) torn,219,,
981,cloth,219,,
982,rag,219,,
