ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Name
to be itchy,to be itchy,,,3855,ITCH (CAUSE ITCHING OR FEEL ITCHY)
to scratch oneself,to scratch oneself,,,1436,SCRATCH
to shiver,to shiver,,,52,SHIVER
to die,to die,,,3355,TO DIE
ghost,ghost,,,1175,GHOST
to sit (remain),to sit (remain),,,1416,SIT
to stand (remain),to stand (remain),,,1442,STAND
to kneel,to kneel,,,66,KNEEL
to walk,to walk,,,1443,WALK
to crawl on belly (like a snake),to crawl on belly (like a snake),,,96,CRAWL
to go,to go,,,695,GO
to come,to come,,,3277,TO COME
to return,to return,,,-,-
to run,to run,,,3939,TO RUN
to ascend,to ascend,,,705,GO UP (ASCEND)
to descend,to descend,,,2014,GO DOWN (DESCEND)
to enter (house),to enter (house),,,749,ENTER
to go out/exit (house),to go out/exit (house),,,1107,GO OUT
to push,to push,,,3861,TO PUSH
to pull,to pull,,,1455,PULL
to kick,to kick,,,3656,TO KICK
to throw,to throw,,,4134,TO THROW
to fall (from a height),to fall (from a height),,,1280,FALL
to swim,to swim,,,4100,TO SWIM
to float,to float,,,3475,TO FLOAT
to submerge something,to submerge something,,,-,-
to flow (river),to flow (river),,,2003,FLOW
to give,to give,,,3530,TO GIVE
to tie (something),to tie (something),,,1917,TIE
to wipe,to wipe,,,4216,TO WIPE
to rub/scrub,to rub/scrub,,,1449,RUB
to wash (hands),to wash (hands),,,1453,WASH
to wash (clothes),to wash (clothes),,,4194,TO WASH (CLOTHES)
to bathe,to bathe,,,138,BATHE
to hit/beat (with force),to hit/beat (with force),,,1665,BEAT
to split,to split,,,4034,TO SPIT
to slice/saw,to slice/saw,,,3543,SAW (SOMETHING)
to cut (hair),to cut (hair),,,2155,CUT (WITH SCISSORS)
to stab,to stab,,,1434,STAB
to plant,to plant,,,1486,PLANT (SOMETHING)
to dig (with a tool),to dig (with a tool),,,1418,DIG
to bury (a corpse),to bury (a corpse),,,1719,BURY
to work,to work,,,1086,WORK (ACTIVITY)
to play,to play,,,3801,TO PAY
to dance,to dance,,,3327,TO DANCE
to shoot (gun),to shoot (gun),,,1172,SHOOT
to hunt,to hunt,,,3614,TO HUNT
to kill,to kill,,,3658,TO KILL
to fight (hand-to-hand),to fight (hand-to-hand),,,1423,FIGHT
to buy,to buy,,,3228,TO BUY
to sell,to sell,,,3962,TO SELL
to exchange,to exchange,,,2509,EXCHANGE
to pay,to pay,,,3801,TO PAY
to steal,to steal,,,4058,TO STEAL
to hide oneself,to hide oneself,,,2485,HIDE (ONESELF)
one (person),one (person),,,1493,ONE
two (persons),two (persons),,,1498,TWO
three (persons),three (persons),,,492,THREE
four (persons),four (persons),,,1500,FOUR
five (persons),five (persons),,,493,FIVE
six (persons),six (persons),,,1703,SIX
seven (persons),seven (persons),,,1704,SEVEN
eight (persons),eight (persons),,,1705,EIGHT
nine (persons),nine (persons),,,1483,NINE
ten (persons),ten (persons),,,1515,TEN
twenty (persons),twenty (persons),,,1710,TWENTY
hundred (persons),hundred (persons),,,1634,HUNDRED
thousand (persons),thousand (persons),,,1843,THOUSAND
to be many (people),to be many (people),,,428,BE MANY
all,all,,,98,ALL
some (people),some (people),,,1241,SOME
to be few (people),to be few (people),,,1242,FEW
half (quantity),half (quantity),,,816,HALF
to be big,to be big,,,1202,BIG
to be small,to be small,,,1246,SMALL
to be long,to be long,,,1203,LONG
to be short (length),to be short (length),,,1645,SHORT
to be tall,to be tall,,,711,TALL
