ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,SLNO,Borrowed,Tones,Page,Speaker,Notes
163,Santong,cave (natural),loŋ³³ siaŋ³¹,l o ŋ ³³ + s ia ŋ ³¹,,nawsawu2016makyam,41,false,33 31,157,st1,
164,Santong,cave (natural),loŋ³³ kʰy²¹,l o ŋ ³³ + kʰ y ²¹,,nawsawu2016makyam,41,false,33 21,157,st2,
165,Khalai,jungle/forest,hɔŋ³³,h ɔ ŋ ³³,,nawsawu2016makyam,42,false,33,157,kl1,
166,Khalai,jungle/forest,hɔŋ⁴⁴,h ɔ ŋ ⁴⁴,,nawsawu2016makyam,42,false,44,157,kl2,
167,Santong,jungle/forest,hɔŋ³³,h ɔ ŋ ³³,,nawsawu2016makyam,42,false,33,157,st1,
168,Santong,jungle/forest,hɔŋ³³,h ɔ ŋ ³³,,nawsawu2016makyam,42,false,33,157,st2,
169,Khalai,tree,hy⁴⁴,h y ⁴⁴,,nawsawu2016makyam,43,false,44,158,kl1,
170,Khalai,tree,hy⁴⁴,h y ⁴⁴,,nawsawu2016makyam,43,false,44,158,kl2,
171,Santong,tree,hy⁴⁴,h y ⁴⁴,,nawsawu2016makyam,43,false,44,158,st1,
172,Santong,tree,hy⁴⁴,h y ⁴⁴,,nawsawu2016makyam,43,false,44,158,st2,
173,Khalai,branch (tree),hy³³ tʃy³¹,h y ³³ + tʃ y ³¹,,nawsawu2016makyam,44,false,33 31,158,kl1,
174,Khalai,branch (tree),hy³³ tʃy²¹,h y ³³ + tʃ y ²¹,,nawsawu2016makyam,44,false,33 21,158,kl2,
175,Santong,branch (tree),hy³³ tʃə³¹,h y ³³ + tʃ ə ³¹,,nawsawu2016makyam,44,false,33 31,158,st1,
176,Santong,branch (tree),hy³³ tʃy²¹,h y ³³ + tʃ y ²¹,,nawsawu2016makyam,44,false,33 21,158,st2,
177,Khalai,tree bark,hy³³ hy³¹,h y ³³ + h y ³¹,,nawsawu2016makyam,45,false,33 31,158,kl1,
178,Khalai,tree bark,hy³³ hy²¹,h y ³³ + h y ²¹,,nawsawu2016makyam,45,false,33 21,158,kl2,
179,Santong,tree bark,hø³³ haʔ³¹,h ø ³³ + h a ʔ ³¹,,nawsawu2016makyam,45,false,ø33 31,158,st1,
